"COUNTY","STATE","POPULATION","UNEMPLOYMENT_RATE","DENSITY"
"accomack","VA",32947,4.8,"73.8"
"ada","ID",444028,3.3,"372.8"
"adair","MO",25359,5.7,"45.1"
"adams","CO",498187,3.6,"378.2"
"adams","IL",66578,4.8,"78.5"
"adams","OH",27907,7.5,"48.9"
"adams","PA",102180,4,"195.5"
"adams","WA",19238,6.8,"9.7"
"addison","VT",36959,3.1,"48"
"aitkin","MN",15583,7,"8.9"
"alachua","FL",263496,4.3,"282.7"
"alamance","NC",159688,4.7,"356.5"
"alameda","CA",1647704,4.2,"2043.6"
"alamosa","CO",16654,4.1,"21.4"
"albany","NY",308846,4,"581.9"
"albemarle","VA",106878,3.5,"137.3"
"alcona","MI",10352,7.4,"16.2"
"alexander","IL",6478,9.2,"35"
"alexander","NC",37428,4.3,"143.1"
"alexandria city","VA",155810,2.9,"9314.3"
"alfalfa","OK",5827,3.4,"6.5"
"alger","MI",9219,8,"10.5"
"allegan","MI",115548,3.7,"135"
"allegany","MD",72130,6.1,"177"
"allegany","NY",47077,6.2,"47.6"
"alleghany","NC",10848,5.6,"47.5"
"alleghany","VA",15595,5.1,"36.5"
"allegheny","PA",1225365,5.2,"1675.6"
"allen","IN",370404,4.3,"540.6"
"allen","OH",103742,5,"264.2"
"alpena","MI",28704,5.7,"51.8"
"alpine","CA",1071,6.5,"1.6"
"amador","CA",37383,5.9,"64.1"
"amelia","VA",12913,4.2,"35.7"
"amherst","VA",31633,4.3,"68.3"
"amite","MS",12458,7.4,"18"
"anderson","SC",196569,4.4,"261.6"
"andrew","MO",17350,3.8,"40"
"andrews","TX",17760,4.8,"9.9"
"androscoggin","ME",107319,3.6,"230.2"
"angelina","TX",87791,6,"108.8"
"anne arundel","MD",568346,3.7,"1295.9"
"anoka","MN",345957,3.8,"782.1"
"antrim","MI",23144,6.8,"49.6"
"apache","AZ",73112,11.3,"6.4"
"appling","GA",18428,6.4,"36"
"appomattox","VA",15475,4.6,"44.9"
"aransas","TX",25721,5.7,"91.9"
"arapahoe","CO",637068,3.1,"716.7"
"archer","TX",8703,4.4,"10"
"arenac","MI",15122,8.1,"43.8"
"arlington","VA",230050,2.6,"7993.5"
"armstrong","PA",66486,7.6,"105.5"
"armstrong","TX",1876,2.8,"2.1"
"ashland","OH",53652,5,"125.6"
"ashtabula","OH",98231,6,"144.6"
"asotin","WA",22306,5.1,"34"
"atascosa","TX",48797,5.3,"36.8"
"athens","OH",66186,6.2,"128.6"
"atkinson","GA",8273,5.2,"24.7"
"atlantic","NJ",270991,7.4,"494.1"
"auglaize","OH",45894,3.7,"114.5"
"augusta","VA",74997,3.6,"76.3"
"autauga","AL",55416,5.3,"91.8"
"avery","NC",17516,5,"72"
"baca","CO",3568,1.7,"1.5"
"bailey","TX",7181,4.4,"8.7"
"baker","FL",27937,4.9,"46.3"
"baker","OR",16059,6.4,"5.3"
"baldwin","AL",208563,5.4,"114.6"
"baldwin","GA",45144,6.8,"177.3"
"baltimore","MD",831026,4.5,"1345.5"
"baltimore city","MD",614664,6.3,"7671.5"
"bandera","TX",21776,4.1,"25.9"
"bannock","ID",84377,3.5,"74.5"
"baraga","MI",8503,7.9,"9.9"
"barber","KS",4688,4.1,"4.3"
"barbour","AL",25965,8.6,"31"
"barnstable","MA",214276,4.7,"548.3"
"barron","WI",45412,4.7,"53.2"
"barry","MI",59702,3.8,"107"
"barry","MO",35732,4.5,"45.7"
"bartholomew","IN",81402,3.4,"188.7"
"barton","MO",11908,5.2,"21"
"bartow","GA",103807,5.1,"217.9"
"bastrop","TX",82733,3.7,"83.5"
"bates","MO",16417,5.3,"20.4"
"bath","VA",4476,3.7,"8.9"
"bay","FL",183974,4.9,"222.6"
"bay","MI",104747,5.2,"243.7"
"beaver","OK",5382,3.2,"3.1"
"beaver","PA",167429,6.3,"392.3"
"becker","MN",33734,4.7,"24.7"
"bedford","PA",48325,5.9,"49.2"
"bedford","VA",77960,4.1,"91.2"
"bee","TX",32750,7.7,"36.2"
"bell","TX",340411,4.4,"295.2"
"belmont","OH",68673,7.4,"132.3"
"beltrami","MN",46106,5.3,"17.7"
"ben hill","GA",17243,8.1,"70.5"
"bennington","VT",36191,3.8,"55"
"bent","CO",5861,3.1,"4.3"
"benton","AR",258291,2.9,"261.2"
"benton","IN",8650,4.2,"21.8"
"benton","MN",39992,4.5,"94.2"
"benton","MS",8264,6.7,"21.5"
"benton","MO",18839,6.1,"27.1"
"benton","OR",89385,3.9,"126.6"
"benton","WA",193686,6.5,"103"
"benzie","MI",17572,6.4,"54.8"
"bergen","NJ",939151,4.2,"3884.5"
"berks","PA",414812,5,"480.4"
"berkshire","MA",126903,4.3,"141.6"
"bernalillo","NM",676953,5.8,"570.8"
"berrien","GA",18993,6.2,"42.7"
"berrien","MI",154010,4.8,"276.2"
"bexar","TX",1928680,3.7,"1383.1"
"bibb","GA",152760,6,"622.8"
"big horn","WY",12005,4.9,"3.7"
"big stone","MN",5050,4.9,"10.6"
"black hawk","IA",132904,4.7,"231.7"
"blair","PA",124650,5.3,"241.7"
"bland","VA",6513,5.2,"19.1"
"blount","AL",57704,5.5,"88.9"
"blue earth","MN",66441,3.2,"85.6"
"bolivar","MS",32737,7.3,"39"
"bollinger","MO",12052,5.1,"20"
"bond","IL",16824,5.1,"46.7"
"bonneville","ID",112232,3.2,"55.9"
"boone","IL",53503,6.3,"193"
"boone","MO",176594,3.2,"237.3"
"borden","TX",633,3.6,"0.7"
"bosque","TX",18097,4.3,"18.5"
"botetourt","VA",33231,3.6,"61.2"
"boulder","CO",322226,2.7,"405.6"
"bowie","TX",93860,4.7,"104.6"
"box elder","UT",53139,3.5,"8.7"
"boyle","KY",30018,4.9,"157.8"
"bradford","FL",26926,4.3,"97"
"bradford","PA",60770,6.6,"54.6"
"branch","MI",43427,4.6,"89.4"
"brantley","GA",18355,6.7,"41.6"
"brazoria","TX",354195,5.2,"230.7"
"brazos","TX",220417,3.4,"332.8"
"brevard","FL",579130,5.2,"535"
"brewster","TX",9200,3.8,"1.5"
"briscoe","TX",1474,4.4,"1.8"
"bristol","MA",558324,4.7,"991.3"
"bristol city","VA",16960,5.1,"1370.6"
"bronx","NY",1455720,7.1,"32903.3"
"brooks","GA",15687,5.2,"32.9"
"broome","NY",195334,5.4,"284.2"
"broward","FL",1909632,4.6,"1444.9"
"brown","IL",6762,3.4,"22.7"
"brown","IN",14912,4,"48.9"
"brown","MN",25331,4.1,"42.4"
"brown","OH",43759,5.7,"91.5"
"brown","TX",38271,4.4,"40.3"
"brown","WI",260401,3.7,"468.2"
"brunswick","VA",16243,6,"30.8"
"bryan","OK",45573,4.4,"46.9"
"buchanan","MO",88938,4.1,"218.6"
"buchanan","VA",22178,10.8,"47.9"
"buckingham","VA",17048,5.3,"29.6"
"bucks","PA",626399,4.6,"1034.7"
"buena vista city","VA",6452,5.1,"992"
"bullitt","KY",79151,4.1,"250.2"
"bulloch","GA",74722,5.7,"104.4"
"bullock","AL",10362,7.2,"17.5"
"buncombe","NC",256088,3.8,"362.9"
"bureau","IL",33359,6.1,"40.2"
"burke","GA",22688,7.6,"28.2"
"burleigh","ND",94487,2.6,"49.8"
"burleson","TX",17760,4.7,"26.1"
"burlington","NJ",449284,4.4,"561.9"
"burnet","TX",46243,3.5,"43"
"butler","AL",19998,7.1,"27"
"butler","KS",67025,4.3,"46.1"
"butler","MO",42739,5.7,"61.6"
"butler","OH",377537,4.4,"788.2"
"butte","CA",226864,6.5,"134.4"
"butts","GA",23817,5.6,"128.3"
"cabarrus","NC",201590,4.5,"492.1"
"cabell","WV",95987,4.7,"342.8"
"cache","UT",122753,3.1,"96.7"
"calaveras","CA",45171,5.6,"44.7"
"caldwell","MO",9062,4.6,"22.1"
"caldwell","NC",81449,5.2,"176.1"
"caldwell","TX",41161,4.3,"69.8"
"caledonia","VT",30333,4.1,"48.1"
"calhoun","AL",114611,6.7,"195.7"
"calhoun","FL",14423,5.7,"25.8"
"calhoun","IL",4894,6.3,"20"
"calhoun","MI",134386,4.6,"192.8"
"calhoun","TX",21965,5.6,"42.2"
"calloway","KY",38437,4.5,"96.6"
"calvert","MD",91251,3.8,"416.3"
"cambria","PA",134732,6.9,"208.7"
"camden","GA",53008,5.7,"82.4"
"camden","MO",44497,5.7,"67.1"
"camden","NJ",510150,5.5,"2321.5"
"camden","NC",10418,5.2,"41.5"
"cameron","PA",4677,7.5,"12.8"
"cameron","TX",422135,7.2,"456"
"camp","TX",12867,6.8,"63.3"
"campbell","VA",54952,4.4,"108.8"
"canadian","OK",136532,4,"128.9"
"canyon","ID",211698,4.4,"321.6"
"cape girardeau","MO",78913,4.3,"130.8"
"cape may","NJ",94430,9.8,"386.9"
"carbon","PA",63594,6,"171.1"
"carbon","UT",20399,5.9,"14.5"
"carlton","MN",35738,5.4,"41.1"
"caroline","MD",32850,4.7,"103.5"
"carroll","GA",116261,6,"221.5"
"carroll","IL",14539,5.7,"34.6"
"carroll","IN",19970,4.2,"54.1"
"carroll","MD",167656,3.5,"373.4"
"carroll","VA",29531,5.1,"63.3"
"carson","TX",6057,3.4,"6.7"
"carson city","NV",54742,6.1,"382.1"
"carteret","NC",68890,5.2,"131.3"
"carver","MN",100262,3.3,"256.9"
"cascade","MT",81755,4,"30.1"
"cass","IL",12676,5.6,"36.3"
"cass","MI",51599,4.6,"106.7"
"cass","MN",28993,6.7,"14.1"
"cass","MO",102845,4.1,"142.8"
"cass","ND",175249,2.3,"84.9"
"cass","TX",30375,7.3,"32.5"
"castro","TX",7669,3.1,"9"
"caswell","NC",22910,5.4,"55.8"
"catawba","NC",156459,4.7,"387.1"
"cattaraugus","NY",77677,5.9,"61.4"
"cayuga","NY",77861,5,"115.7"
"cecil","MD",102603,5.1,"292"
"cedar","MO",14016,5,"29.5"
"centre","PA",161464,4.2,"138.7"
"chaffee","CO",19058,2.7,"17.6"
"chambers","AL",33843,5.5,"57.4"
"chambers","TX",39899,6.1,"58.8"
"champaign","IL",208419,5.1,"201.8"
"champaign","OH",38747,4.5,"93.5"
"charles","MD",157705,4.2,"320.2"
"charles city","VA",7071,4.5,"39.7"
"charleston","SC",396484,3.9,"382.3"
"charlevoix","MI",26174,5.3,"62.3"
"charlotte","FL",178465,5.3,"235.2"
"charlotte","VA",12129,5,"26.5"
"charlottesville city","VA",46912,3.3,"4246.3"
"charlton","GA",12497,5.8,"15.7"
"chatham","GA",289082,5.2,"621.7"
"chattooga","GA",24824,6.2,"83"
"chautauqua","NY",129504,5.8,"127.2"
"chaves","NM",65282,6.8,"10.8"
"cheboygan","MI",25401,9,"36.6"
"chelan","WA",76338,5.9,"24.8"
"chemung","NY",86322,5.7,"218.1"
"chenango","NY",48579,5,"56.5"
"cherokee","AL",25725,5.2,"46.9"
"cherokee","GA",241689,4.2,"508.3"
"cherokee","KS",20246,4.6,"36.8"
"chesapeake city","VA",237940,4.3,"652"
"chester","PA",516312,3.9,"664.7"
"chesterfield","VA",339009,3.8,"747.1"
"cheyenne","CO",1848,2.3,"1"
"chickasaw","MS",17246,6.6,"34.7"
"childress","TX",7052,3.1,"10.1"
"chippewa","MI",37724,7.4,"24.7"
"chippewa","MN",12133,4.5,"21.4"
"chisago","MN",54748,4.4,"129.9"
"chittenden","VT",161531,2.5,"291.7"
"choctaw","AL",12993,8.9,"15.2"
"choctaw","MS",8242,5.7,"20.4"
"christian","IL",33309,6.3,"49.1"
"christian","MO",84401,3.9,"137.6"
"churchill","NV",24198,5.4,"5"
"cibola","NM",27487,8.3,"6"
"citrus","FL",143621,6.8,"242.8"
"clackamas","OR",408062,4.4,"201"
"claiborne","MS",9139,11.4,"19.7"
"clallam","WA",74570,7.9,"41.1"
"clare","MI",30358,7.2,"54.8"
"clarion","PA",38513,6.4,"66.6"
"clark","IL",15938,5.9,"32.6"
"clark","MO",6723,7.3,"14.1"
"clark","NV",2155664,5.8,"247.3"
"clark","OH",134786,5.2,"348"
"clark","WA",467018,6.3,"676.2"
"clarke","AL",24392,11.1,"20.9"
"clarke","MS",15888,6.8,"24.2"
"clatsop","OR",38632,4.8,"44.7"
"clay","AL",13492,6.2,"23.1"
"clay","FL",208311,4.5,"315.8"
"clay","IL",13300,6.8,"29.5"
"clay","KS",8143,4.5,"13.2"
"clay","MN",62875,3.5,"56.4"
"clay","MO",239085,3.9,"558.6"
"clay","TX",10193,4.5,"9.9"
"clayton","GA",279462,6.6,"1832.5"
"clearfield","PA",80596,7.4,"71.3"
"clearwater","MN",8827,9.6,"8.7"
"cleburne","AL",14924,6.1,"26.7"
"clermont","OH",203022,4.4,"436.5"
"cleveland","OK",278655,3.9,"474.7"
"clinch","GA",6829,6.2,"8.5"
"clinton","IL",37729,4.5,"79.7"
"clinton","IN",32457,3.9,"82"
"clinton","MI",77888,3.6,"133.1"
"clinton","MO",20610,4.2,"49.5"
"clinton","NY",81073,5.3,"79.1"
"clinton","OH",41902,5.8,"102.9"
"clinton","PA",39233,7.1,"44.2"
"coal","OK",5651,7.5,"11.5"
"cobb","GA",748150,4.6,"2026.4"
"cochise","AZ",125770,6.1,"21.3"
"cochran","TX",2882,5.6,"4"
"coconino","AZ",140908,5.9,"7.2"
"coffee","AL",51226,6.1,"73.6"
"coffee","TN",54682,4.8,"123.1"
"coffey","KS",8433,6.3,"13.7"
"coke","TX",3264,4.1,"3.6"
"colbert","AL",54216,7,"91.8"
"cole","MO",76631,3.6,"193"
"coleman","TX",8420,5.9,"7"
"coles","IL",52343,5.9,"106"
"colfax","NM",12253,6.1,"3.7"
"collier","FL",365136,4.8,"160.9"
"collin","TX",939585,3.5,"930"
"collingsworth","TX",3016,3.5,"3.3"
"colonial heights city","VA",17772,4.4,"2315.3"
"colorado","TX",21019,4.8,"21.7"
"colquitt","GA",45708,5.3,"83.6"
"columbia","FL",69299,4.8,"84.7"
"columbia","NY",60989,3.7,"99.4"
"columbia","OR",50785,6.2,"75.1"
"columbia","PA",66420,5.6,"139.3"
"columbia","WA",3938,6.8,"4.7"
"columbiana","OH",103685,6.6,"202.7"
"columbus","NC",56505,6.4,"62"
"colusa","CA",21588,15.5,"18.6"
"comal","TX",134788,3.6,"193.9"
"comanche","OK",122136,4.7,"116.1"
"conecuh","AL",12395,8.6,"15.6"
"conejos","CO",8129,4.9,"6.4"
"contra costa","CA",1135127,4.4,"1465.2"
"cook","IL",5203499,6.2,"5495.1"
"cook","MN",5286,4.6,"3.6"
"cooper","MO",17712,4.9,"31.2"
"coos","OR",63761,6.5,"39.5"
"coosa","AL",10581,6.1,"17.7"
"copiah","MS",28482,6.5,"37.9"
"cortland","NY",48070,5.7,"98.9"
"cottle","TX",1402,5.4,"1.7"
"cottonwood","MN",11470,7.3,"18.3"
"covington","AL",37458,7,"36.6"
"covington","MS",19569,5.5,"47.3"
"covington city","VA",5518,5.8,"1090.1"
"coweta","GA",140526,5,"288.8"
"cowlitz","WA",105160,7.5,"89.8"
"craig","VA",5158,4.7,"15.7"
"craighead","AR",105835,3.3,"136.4"
"craven","NC",103445,5.3,"146"
"crawford","IL",19308,6.2,"44.7"
"crawford","KS",39164,5,"66.4"
"crawford","MI",13744,7.4,"25.3"
"crawford","MO",24302,5.3,"33.3"
"crawford","PA",86257,6,"87.7"
"crisp","GA",22721,6.1,"86"
"crockett","TX",3675,7.6,"1.3"
"crook","OR",22570,7,"7"
"crosby","TX",5992,4.4,"6.7"
"crow wing","MN",63940,5.1,"62.6"
"crowley","CO",5694,3.6,"7.4"
"culpeper","VA",50083,3.8,"123.1"
"cumberland","IL",10858,5.2,"31.9"
"cumberland","ME",292041,2.9,"337.2"
"cumberland","NJ",153797,7.5,"324.4"
"cumberland","NC",327127,6.3,"489.7"
"cumberland","PA",248506,4.1,"431.6"
"cumberland","VA",9652,4.6,"33.8"
"curry","NM",50280,5.1,"34.4"
"curry","OR",22713,6.9,"13.7"
"custer","CO",4602,3.2,"5.8"
"custer","OK",29293,4.7,"27.8"
"cuyahoga","OH",1249352,5.4,"2800"
"dade","GA",16257,5.1,"95.6"
"dakota","MN",417486,3.4,"709"
"dale","AL",49226,5.9,"89.6"
"dallam","TX",7056,2.3,"4.5"
"dallas","AL",40008,9.4,"44.8"
"dallas","TX",2574984,4,"2718"
"dane","WI",531273,2.9,"407.7"
"danville city","VA",41898,6,"1002.8"
"darke","OH",51778,4.1,"88.5"
"dauphin","PA",273707,4.8,"510.6"
"davidson","TN",684410,3.6,"1243.3"
"daviess","KY",99674,4.5,"210.9"
"davis","UT",342281,3.1,"1025.8"
"dawson","GA",23604,4.7,"105.9"
"dawson","MT",9327,3.9,"3.8"
"dawson","TX",13111,5.1,"15.4"
"de witt","IL",16226,5.7,"41.7"
"deaf smith","TX",18830,3.1,"12.9"
"decatur","IN",26598,3.6,"69.1"
"defiance","OH",38158,4.8,"94.9"
"dekalb","AL",70900,6.2,"91.5"
"dekalb","GA",740321,5.4,"2585.7"
"dekalb","IL",104528,5.4,"166.6"
"dekalb","MO",12613,4.4,"30.6"
"del norte","CA",27540,7.5,"28.4"
"delaware","IN",115603,5.2,"300.1"
"delaware","NY",45523,5.5,"33.3"
"delaware","OK",41598,5,"56.2"
"delaware","PA",563402,4.9,"3040.5"
"delta","CO",30442,5,"27.1"
"delta","MI",36202,6.3,"31.7"
"delta","TX",5215,4,"20.4"
"dent","MO",15387,5.4,"20.8"
"denton","TX",806180,3.4,"754.3"
"deschutes","OR",181307,4.9,"52.3"
"desoto","FL",35800,5.2,"54.7"
"desoto","MS",175611,4.2,"338.7"
"dewey","OK",4819,4.1,"4.8"
"dewitt","TX",20865,5.6,"22.1"
"dickens","TX",2184,5.1,"2.7"
"dickenson","VA",14968,9.9,"48.1"
"dickinson","MI",25535,5.2,"34.4"
"dimmit","TX",10794,7.2,"7.5"
"dinwiddie","VA",28144,4.8,"55.6"
"dixie","FL",16300,5.5,"23.3"
"dodge","MN",20506,3.8,"45.7"
"dolores","CO",2056,4,"1.9"
"donley","TX",3405,4.3,"4"
"dorchester","MD",32258,6,"60.3"
"dougherty","GA",90017,6.9,"287.7"
"douglas","CO",328632,2.7,"339.7"
"douglas","IL",19630,4.7,"48"
"douglas","KS",119440,3.6,"243.1"
"douglas","MN",37456,3.5,"56.5"
"douglas","NE",554995,3.5,"1574.4"
"douglas","NV",48020,5.6,"66.2"
"douglas","OR",108457,6.4,"21.4"
"douglas","WA",41327,7.1,"21.1"
"dubois","IN",42552,3.1,"98"
"dubuque","IA",97003,3.6,"154"
"duchesne","UT",20337,8.9,"5.7"
"dukes","MA",17246,5,"160.2"
"dunklin","MO",30535,8.2,"59.1"
"dupage","IL",929368,4.8,"2799.8"
"durham","NC",306212,4.5,"935.7"
"dutchess","NY",294473,4.2,"373.9"
"duval","FL",926255,5,"1133.9"
"eagle","CO",53989,2.8,"31"
"early","GA",10339,7,"21.5"
"east carroll parish","LA",7271,11.7,"18.4"
"eastland","TX",18274,5.5,"20.1"
"eaton","MI",109160,4,"187.4"
"eau claire","WI",102965,3.5,"154.8"
"ector","TX",157462,6.4,"152.8"
"eddy","NM",57621,6.6,"12.9"
"edgar","IL",17566,6,"29.8"
"edgecombe","NC",53318,8.6,"111.9"
"edwards","IL",6523,5.8,"30.2"
"edwards","TX",1911,4.9,"0.9"
"effingham","GA",58712,4.9,"109.4"
"effingham","IL",34386,4.7,"71.5"
"el dorado","CA",185625,5.1,"106"
"el paso","CO",688284,3.8,"292.6"
"el paso","TX",837918,4.9,"790.6"
"elbert","CO",25231,2.7,"12.5"
"elk","KS",2547,5.3,"4.5"
"elk","PA",30480,5.6,"38.6"
"elkhart","IN",203781,3.5,"426.5"
"elko","NV",52168,4.5,"2.8"
"ellis","OK",4080,3.9,"3.4"
"ellis","TX",168499,3.8,"159.9"
"elmore","AL",81799,4.9,"128.2"
"emery","UT",10216,6.3,"2.5"
"emmet","MI",33182,6.2,"69.9"
"emporia city","VA",5305,6.5,"859.8"
"erath","TX",41659,4.1,"35"
"erie","NY",921046,4.9,"881.4"
"erie","OH",75107,5.5,"306.4"
"erie","PA",276207,6.6,"351.1"
"escambia","AL",37728,6.7,"40.5"
"escambia","FL",315187,4.9,"453.4"
"esmeralda","NV",790,4.5,"0.2"
"essex","MA",779018,3.8,"1508.8"
"essex","NJ",796914,6,"6211.5"
"essex","NY",38102,5.3,"21.9"
"essex","VT",6176,5.9,"9.5"
"essex","VA",11123,4.8,"43.4"
"etowah","AL",102564,6,"195.2"
"eureka","NV",1917,4.6,"0.5"
"evans","GA",10670,5,"60.2"
"fairfax","VA",1138652,3.2,"2766.8"
"fairfax city","VA",24164,3,"3616.6"
"fairfield","CT",944177,4.8,"1467.2"
"fairfield","OH",152597,4.2,"289.8"
"falls","TX",17273,4.5,"23.3"
"falls church city","VA",14014,2.7,"6169.8"
"fannin","GA",24900,5.3,"61.2"
"fannin","TX",34031,3.8,"38.1"
"faribault","MN",13935,4.4,"20.4"
"faulkner","AR",122227,3.8,"174.8"
"fauquier","VA",69069,3.4,"100.7"
"fayette","GA",111627,4.7,"548.3"
"fayette","IL",21789,6.7,"30.9"
"fayette","KY",318449,3.5,"1042.8"
"fayette","OH",28676,4.4,"71.4"
"fayette","PA",132733,8.2,"172.8"
"fayette","TX",25149,3.7,"25.8"
"ferry","WA",7614,10.8,"3.4"
"fillmore","MN",21003,4.1,"24.2"
"fisher","TX",3854,4.4,"4.4"
"flagler","FL",108310,5.5,"197.1"
"floyd","GA",96560,6,"188.9"
"floyd","IN",76990,4.1,"504.1"
"floyd","TX",5917,5.2,"6.5"
"fluvanna","VA",26271,3.3,"89.8"
"foard","TX",1183,3.9,"1.9"
"fond du lac","WI",102144,3.6,"141.2"
"ford","IL",13575,5.5,"29"
"ford","KS",33971,3.3,"30.8"
"forest","PA",7321,8,"18.1"
"forrest","MS",75979,5.7,"160.7"
"forsyth","GA",221009,4.2,"783.5"
"forsyth","NC",371511,4.9,"859.2"
"fort bend","TX",741237,5,"679.5"
"franklin","AL",31628,6.1,"50"
"franklin","FL",11901,4.3,"21.6"
"franklin","GA",22320,5.3,"84.5"
"franklin","IL",39156,8.1,"96.8"
"franklin","IN",22715,4.3,"60.1"
"franklin","KS",25560,4.3,"45.5"
"franklin","KY",50560,4,"237.2"
"franklin","MA",70382,3.3,"102.1"
"franklin","MO",102838,4.4,"110"
"franklin","NY",50409,5.6,"31.7"
"franklin","NC",64705,5.1,"123.3"
"franklin","OH",1264518,4,"2186.1"
"franklin","PA",153851,5.2,"193.7"
"franklin","VT",48915,3.2,"75.3"
"franklin","VA",56069,4.3,"81.3"
"franklin","WA",90160,7.6,"62.9"
"franklin city","VA",8306,5.9,"1045.8"
"franklin parish","LA",20330,9.1,"33.2"
"frederick","MD",247591,3.7,"353.5"
"frederick","VA",84421,3.5,"189.4"
"fredericksburg city","VA",28297,4.7,"2326.2"
"freeborn","MN",30446,3.9,"44.2"
"freestone","TX",19624,6.9,"22.6"
"fresno","CA",979915,9.4,"156.2"
"frio","TX",18956,5,"15.2"
"fulton","GA",1023336,5.4,"1748"
"fulton","IL",35536,7.4,"42.8"
"fulton","IN",20139,4.7,"56.6"
"fulton","NY",53828,5.7,"112.1"
"fulton","OH",42514,4.6,"105.3"
"gadsden","FL",46006,6.3,"89.8"
"galax city","VA",6775,5,"854.7"
"gallatin","IL",5212,7.6,"17.3"
"gallia","OH",30015,6.7,"66.3"
"galveston","TX",329431,5.3,"769.9"
"garfield","CO",58887,3.6,"19.1"
"garfield","OK",62603,4.3,"57.2"
"garfield","UT",4986,8.4,"1"
"garfield","WA",2247,6,"3.2"
"garland","AR",97477,4.3,"141.7"
"garrett","MD",29425,5.5,"46.5"
"garvin","OK",27838,5.4,"34.4"
"gaston","NC",216965,5.3,"578.8"
"geary","KS",35586,5.8,"89.3"
"geauga","OH",94060,4.4,"233.4"
"genesee","MI",408615,5.4,"668.5"
"genesee","NY",58482,4.6,"121.9"
"geneva","AL",26614,5.9,"46.6"
"george","MS",23695,7.4,"47.2"
"georgetown","SC",61399,6.5,"73.9"
"gibson","IN",33703,3.7,"68.7"
"gibson","TN",49401,6,"82.4"
"gila","AZ",53556,7.2,"11.3"
"gilchrist","FL",17212,5.1,"48.4"
"giles","VA",16857,5.3,"48.6"
"gillespie","TX",26521,2.8,"23.5"
"gilmer","WV",8249,8.2,"25.7"
"gilpin","CO",5931,2.4,"36.3"
"glades","FL",13970,6.2,"16"
"gladwin","MI",25122,6.8,"51.2"
"glascock","GA",3006,6.1,"21.4"
"glasscock","TX",1314,3.8,"1.4"
"glenn","CA",28085,8.2,"21.4"
"gloucester","NJ",292330,5.1,"895.3"
"gloucester","VA",37214,3.7,"169.2"
"glynn","GA",84502,5.3,"189.7"
